volumenumber,old_end_page,new_end_page
63,30,31
63,34,35
63,37,38
63,43,44
63,44,45
63,114,115
63,159,160
63,190,191
63,200,201
63,211,212
63,242,243
63,262,263
63,269,270
63,274,275
63,279,280
63,292,293
63,296,297
63,305,306
63,313,314
63,316,317
63,319,320
63,329,330
63,333,334
63,334,335
63,336,337
63,340,341
63,345,346
63,349,350
63,354,355
63,358,359
63,360,361
63,361,362
63,362,363
63,364,365
63,365,366
63,368,369
63,375,376
63,376,377
63,377,378
63,378,379
63,379,380
63,380,381
63,381,382
63,382,383
63,383,384
63,384,385
63,385,386
63,388,389
63,389,390
63,391,392
63,393,394
63,394,395
63,395,396
63,398,399
63,399,400
63,404,405
63,405,406
63,410,411
63,412,413
63,416,417
63,419,420
63,423,424
63,436,437
63,441,442
63,447,448
63,449,450
63,453,454
63,455,456
63,467,468
63,470,471
63,479,480
63,487,488
63,492,493
63,495,496
63,496,497
63,498,499
63,500,501
63,502,503
64,24,25
64,29,30
64,80,81
64,88,89
64,127,128
64,155,156
64,159,160
64,161,162
64,164,165
64,170,171
64,171,172
64,187,188
64,213,214
64,215,216
64,217,218
64,220,221
64,222,223
64,227,228
64,228,229
64,238,239
64,243,244
64,245,246
64,252,253
64,254,255
64,255,256
64,257,258
64,260,261
64,269,270
64,271,272
64,272,273
64,292,293
64,299,300
64,310,311
64,314,315
64,322,323
64,324,325
64,325,326
64,332,333
64,343,344
64,349,350
64,357,358
64,360,361
64,361,362
64,363,364
64,365,366
64,378,379
64,380,381
64,381,382
64,382,383
64,386,387
64,389,390
64,391,392
64,401,402
64,437,438
64,460,461
64,465,466
64,469,470
64,477,478
64,485,486
64,488,489
64,492,493
64,494,495
64,496,497
64,497,498
65,51,52
65,53,54
65,54,55
65,57,58
65,60,61
65,62,63
65,63,64
65,71,72
65,79,80
65,80,81
65,82,83
65,88,89
65,89,90
65,96,97
65,101,102
65,102,103
65,104,105
65,106,107
65,111,112
65,118,119
65,119,120
65,127,128
65,128,129
65,134,135
65,138,139
65,139,140
65,143,144
65,145,146
65,155,156
65,156,157
65,159,160
65,162,163
65,175,176
65,177,178
65,178,179
65,181,182
65,182,183
65,183,184
65,187,188
65,193,194
65,197,198
65,225,226
65,230,231
65,244,245
65,254,255
65,257,258
65,259,260
65,268,269
65,273,274
65,275,276
65,277,278
65,278,279
65,285,286
65,306,307
65,308,309
65,309,310
65,311,312
65,313,314
65,318,319
65,320,321
65,321,322
65,322,323
65,323,324
65,324,325
65,325,326
65,326,327
65,327,328
65,328,329
65,331,332
65,345,346
65,354,355
65,356,357
65,358,359
65,361,362
65,362,363
65,379,380
65,383,384
65,402,403
65,412,413
65,409,410
65,410,411
65,417,418
65,419,420
65,429,430
65,435,436
65,438,439
65,449,450
65,457,458
65,458,459
65,462,463
65,472,473
65,475,476
65,480,481
65,483,484
65,484,485
65,485,486
65,488,489
66,39,40
66,43,44
66,61,62
66,75,76
66,79,80
66,82,83
66,95,96
66,99,100
66,102,103
66,105,106
66,116,117
66,118,119
66,119,120
66,123,124
66,125,126
66,128,129
66,138,139
66,149,150
66,152,153
66,156,157
66,158,159
66,159,160
66,162,163
66,163,164
66,165,166
66,170,171
66,172,173
66,174,175
66,176,177
66,180,181
66,182,183
66,187,188
66,192,193
66,200,201
66,204,205
66,205,206
66,208,209
66,210,211
66,212,213
66,215,216
66,217,218
66,219,220
66,228,229
66,232,233
66,236,237
66,242,243
66,245,246
66,246,247
66,251,252
66,253,254
66,254,255
66,255,256
66,260,261
66,264,265
66,266,267
66,270,271
66,272,273
66,273,274
66,274,275
66,277,278
66,280,281
66,281,282
66,282,283
66,286,287
66,287,288
66,291,292
66,292,293
66,294,295
66,297,298
66,299,300
66,300,301
66,301,302
66,307,308
66,310,311
66,312,313
66,313,314
66,318,319
66,320,321
66,321,322
66,324,325
66,339,340
66,342,343
66,351,352
66,352,353
66,355,356
66,357,358
66,358,359
66,360,361
66,363,364
66,364,365
66,368,369
66,370,371
66,372,373
66,374,375
66,375,376
66,376,377
66,398,399
66,400,401
66,402,403
66,403,404
66,409,410
66,410,411
66,416,417
66,419,420
66,422,423
66,428,429
66,434,435
66,435,436
66,437,438
66,442,443
66,444,445
66,450,451
66,457,458
67,32,33
67,64,65
67,95,96
67,108,109
67,112,113
67,114,115
67,125,126
67,128,129
67,134,135
67,139,140
67,146,147
67,149,150
67,151,152
67,152,153
67,153,154
67,156,157
67,157,158
67,163,164
67,164,165
67,165,166
67,167,168
67,168,169
67,169,170
67,171,172
67,174,175
67,178,179
67,183,184
67,185,186
67,192,193
67,193,194
67,208,209
67,209,210
67,210,211
67,212,213
67,224,225
67,226,227
67,230,231
67,231,232
67,234,235
67,237,238
67,240,241
67,249,250
67,251,252
67,253,254
67,256,257
67,258,259
67,259,260
67,260,261
67,262,263
67,264,265
67,286,287
67,288,289
67,289,290
67,291,292
67,295,296
67,300,301
67,303,304
67,340,341
67,342,343
67,343,344
67,360,361
67,378,379
67,384,385
67,391,392
67,396,397
67,403,404
67,413,414
67,421,422
67,436,437
67,449,450
67,458,459
67,466,467
67,474,475
67,480,481
68,29,30
68,39,40
68,44,45
68,46,47
68,67,68
68,73,74
68,82,83
68,83,84
68,87,88
68,89,90
68,99,100
68,113,114
68,116,117
68,124,125
68,128,129
68,130,131
68,132,133
68,134,135
68,149,150
68,152,153
68,164,165
68,166,167
68,167,168
68,173,174
68,179,180
68,184,185
68,196,197
68,198,199
68,199,200
68,214,215
68,219,220
68,235,236
68,239,240
68,246,247
68,255,256
68,281,282
68,293,294
68,307,308
68,327,328
68,328,329
68,329,330
68,330,331
68,341,342
69,15,16
69,97,98
69,100,101
69,103,104
69,108,109
69,116,117
69,120,121
69,123,124
69,128,129
69,134,135
69,143,144
69,151,152
69,158,159
69,167,168
69,175,176
69,180,181
69,183,184
69,185,186
69,193,194
69,197,198
69,205,206
69,214,215
69,225,226
69,293,294
69,421,422
69,458,459
69,459,460
69,462,463
69,467,468
69,471,472
69,474,475
69,475,476
69,476,477
71,199,200
71,296,297
71,308,309
71,319,320
71,321,322
71,384,385
71,395,396
71,397,398
71,398,399
71,399,400
71,401,402
71,402,403
71,425,426
71,431,432
71,464,465
71,469,470
71,481,482
72,14,15
72,16,17
72,19,20
72,26,27
72,28,29
72,35,36
72,60,61
72,76,77
72,150,151
72,152,153
72,164,165
72,170,171
72,199,200
72,201,202
72,260,261
72,342,343
72,348,349
73,21,22
73,43,44
73,160,161
73,264,265
73,277,278
73,280,281
73,286,287
73,301,302
73,307,308
73,321,322
73,328,329
73,332,333
73,355,356
73,362,363
73,378,379
73,399,400
73,401,402
73,406,407
73,420,421
73,424,425
73,427,428
73,428,429
73,432,433
73,433,434
73,438,439
73,452,453
74,22,23
74,24,25
74,27,28
74,42,43
74,47,48
74,49,50
74,55,56
74,59,60
74,65,66
74,69,70
74,78,79
74,87,88
74,100,101
74,105,106
74,124,125
74,145,146
74,157,158
74,159,160
74,177,178
74,186,187
74,192,193
74,271,272
74,274,275
74,276,277
74,277,278
74,278,279
74,282,283
74,291,292
74,293,294
74,296,297
74,298,299
74,306,307
74,321,322
74,352,353
74,356,357
74,359,360
74,362,363
74,382,383
74,406,407
74,427,428
74,437,438
74,451,452
74,462,463
74,477,478
59,208,209
64,152,153
64,192,193
66,135,136
66,166,167
66,302,303
66,311,312
67,232,233
67,267,268
71,346,347
71,418,419
72,120,121
73,348,349
114,18,19
114,20,21
114,22,23
114,29,30
114,30,31
114,33,34
114,35,36
114,36,37
114,38,39
114,39,40
114,46,47
114,57,58
114,68,69
114,81,82
114,92,93
114,123,124
114,126,127
114,135,136
114,139,140
114,151,152
114,158,159
114,167,168
114,178,179
114,188,189
114,213,214
114,227,228
114,232,233
114,250,251
114,259,260
114,278,279
