profile,font_size,classification,confidence,percentage,notes
profile1,18,small,,34.1,
profile1,24,regular,,65.9,
profile2,18,small,,54.7,
profile2,24,regular,?,43.8,
profile2,26,large,,1.4,
profile3,18,small,,4.5,
profile3,20,small,,2.0,
profile3,24,regular,,93.5,
profile4,18,small,,12.6,
profile4,23,regular,,0.3,
profile4,24,regular,,87.1,
profile5,16,small,,0.2,
profile5,18,small,,15.1,
profile5,24,regular,,84.7,
profile6,18,small,,78.0,
profile6,22,regular,,6.5,
profile6,24,regular,,15.5,
profile7,16,small,,0.1,
profile7,18,small,,82.5,
profile7,24,regular,?,16.9,
profile7,26,large,,0.5,
profile8,16,small,,9.9,
profile8,18,small,,76.0,
profile8,23,regular,,3.0,
profile8,24,regular,,11.2,
profile9,24,regular,,99.9,
profile9,26,large,,0.1,
profile10,20,regular,,2.1,
profile10,22,regular,,94.8,
profile10,26,large,,3.1,
profile11,22,regular,,98.8,
profile11,26,large,,1.2,
profile12,20,small,,0.4,
profile12,24,regular,,99.6,
profile13,18,small,,11.8,
profile13,22,regular,,0.0,
profile13,23,regular,,0.3,
profile13,24,regular,,87.9,
profile14,23,regular,,98.6,
profile14,26,large,,1.4,
profile15,18,small,,2.2,
profile15,22,regular,,95.2,
profile15,26,large,,2.5,
profile16,18,small,,12.6,
profile16,20,small,,0.2,
profile16,24,regular,,87.1,
profile16,26,large,,0.1,
profile17,22,regular,,98.8,
profile17,24,large,,1.2,
profile18,18,small,,4.5,
profile18,23,regular,,94.5,
profile18,26,large,,1.0,
profile19,24,regular,,100.0,
profile20,18,small,,23.2,
profile20,22,small,,0.2,
profile20,24,regular,,75.6,
profile20,26,large,,1.0,
profile21,16,small,,4.6,
profile21,18,small,,12.4,
profile21,22,small,,0.1,
profile21,24,regular,,82.9,
profile22,17,small,,9.3,
profile22,18,small,,31.3,
profile22,23,regular,,8.6,
profile22,24,regular,,50.8,
profile23,23,regular,,99.6,
profile23,24,regular,,0.4,
profile24,16,small,,1.9,
profile24,18,small,,26.4,
profile24,20,small,,0.1,
profile24,24,regular,,71.5,
profile25,18,small,,10.4,
profile25,23,regular,,77.3,
profile25,24,regular,?,11.2,
profile25,26,large,,1.1,
profile26,20,small,,0.3,
profile26,22,regular,,98.6,
profile26,24,regular,,0.7,
profile26,26,large,,0.4,
profile27,17,small,,76.5,
profile27,18,small,,1.0,
profile27,24,regular,,22.5,
profile28,18,small,,6.3,
profile28,24,regular,,92.5,
profile28,25,regular,,1.2,
profile29,16,small,,1.5,
profile29,24,regular,,98.3,
profile29,26,large,,0.2,
profile30,22,regular,,100.0,
profile31,18,small,,0.8,
profile31,23,regular,,99.2,
profile32,18,small,,0.9,
profile32,22,regular,,98.8,
profile32,23,regular,,0.3,
profile33,18,small,,16.3,
profile33,20,small,,0.1,
profile33,22,regular,,0.0,
profile33,24,regular,,83.6,
profile34,18,small,,1.1,
profile34,20,regular,,1.5,
profile34,22,regular,,96.4,
profile34,26,large,,1.0,
profile35,16,small,,5.3,
profile35,22,regular,,93.8,
profile35,24,regular,,0.9,
profile36,18,small,,4.8,
profile36,24,regular,,93.9,
profile36,28,large,,1.3,
profile37,16,small,,11.5,
profile37,20,small,,0.3,
profile37,24,regular,,88.2,
profile38,16,small,,0.3,
profile38,18,small,,30.2,
profile38,20,small,,0.2,
profile38,24,regular,,69.1,
profile38,26,large,,0.3,
profile39,16,small,,0.4,
profile39,18,small,,16.3,
profile39,22,regular,,0.0,
profile39,24,regular,,83.1,
profile39,26,large,,0.2,
profile40,18,small,,4.3,
profile40,22,regular,,95.7,
profile41,16,small,,0.0,
profile41,22,regular,,99.3,
profile41,26,large,,0.7,
profile42,18,small,,3.2,
profile42,20,small,,0.8,
profile42,23,regular,,2.1,
profile42,24,regular,,93.9,
profile43,18,small,,36.4,
profile43,20,small,,1.1,
