file,pattern,match_or_content,context
archive/VE001/UT001_0001.xml,short_head,ེ་,"<hi rend=""head"">ེ་</hi>"
archive/VE001/UT001_0001.xml,short_head,ཡོ,"<hi rend=""head"">ཡོ</hi>"
archive/VE001/UT001_0001.xml,short_head,ཡེ,"<hi rend=""head"">ཡེ</hi>"
archive/VE001/UT001_0001.xml,short_head,པར,"<hi rend=""head"">པར</hi>"
archive/VE001/UT001_0003.xml,short_head,ིཿ,"<hi rend=""head"">ིཿ</hi>"
archive/VE001/UT001_0005.xml,tsheg_dot_tsheg,་.་,ས་སུ་བྱས་པ་ནི༔ བཙན་པོ་མཁར་.་ཞུགས་པ་འདྲ༔ སྨྲ་བྱེད་མཚོན
archive/VE001/UT001_0005.xml,tsheg_dot_tsheg,་.་,ག་གི་མན་ངག་གིས༔ .ེ་ཉིད་ལམ་.་སློང་པ་ནི༔ བྱ་བ་བཏང་པའི་ས
archive/VE001/UT001_0005.xml,tsheg_dot_tsheg,་.་,"ྣམ་པ་ལྔ་རྣམས་ལ༔ འཆི་ཁར་ལམ་.་བྱེད་པ་ནི༔ ,ོག་ཆེན་ས་ལ་ལྟ"
archive/VE001/UT001_0005.xml,comma_o,",ོ","༔ འཆི་ཁར་ལམ་.་བྱེད་པ་ནི༔ ,ོག་ཆེན་ས་ལ་ལྟུང་བ་འདྲ༔ .ེ་"
archive/VE001/UT001_0005.xml,comma_o,",ོ","ད་པའི་ས་ཕྱོགས་སུ༔ ཅི་དགར་,ོད་པའི་ཚུལ་གྱིས་འ.ག༔ ཨེ་མ་"
archive/VE001/UT001_0005.xml,comma_o,",ོ","ང་རྗེ་མེ.༔ སེམས་མཐོང་བ་ལ་,ོད་པ་མེ.༔ སྐྱེ་ཤི་མཐོང་ལ་ད"
archive/VE001/UT001_0005.xml,comma_tibetan,",ི","ལ་མར་ངར་བཏགས་རལ་གྲི་འདྲ༔ ,ིག་ལེ་ཕྱི་ནང་པྲ་ཁྲིད་གཉིས༔"
archive/VE001/UT001_0005.xml,comma_tibetan,",ན","ས་དམངས་ལ་དབང་བསྒྱུར་འདྲ༔ ,ན་བཞི་དག་གི་མན་ངག་གིས༔ .ེ་"
archive/VE001/UT001_0005.xml,comma_tibetan,",ོ","༔ འཆི་ཁར་ལམ་.་བྱེད་པ་ནི༔ ,ོག་ཆེན་ས་ལ་ལྟུང་བ་འདྲ༔ .ེ་"
archive/VE001/UT001_0005.xml,comma_tibetan,",ོ","ད་པའི་ས་ཕྱོགས་སུ༔ ཅི་དགར་,ོད་པའི་ཚུལ་གྱིས་འ.ག༔ ཨེ་མ་"
archive/VE001/UT001_0005.xml,comma_tibetan,",ོ","ང་རྗེ་མེ.༔ སེམས་མཐོང་བ་ལ་,ོད་པ་མེ.༔ སྐྱེ་ཤི་མཐོང་ལ་ད"
archive/VE001/UT001_0005.xml,comma_tibetan,",ད","མི་ཚུགས༔ མན་ངག་གཞུང་བཞིན་,ད་པས་རྫུ་འཕྲུལ་སྣ་ཚོགས་གྲུ"
archive/VE001/UT001_0005.xml,isolated_dot,བ.ན,འདྲ༔ .ེ་རྣམས་དོན་ཏིག་བཅུ་བ.ན་པོ༔ རྒྱུད་ཆེན་གཞུང་དང་.ར
archive/VE001/UT001_0005.xml,isolated_dot,་.ར,བ.ན་པོ༔ རྒྱུད་ཆེན་གཞུང་དང་.ར་བ་ནི༔ གླང་ཆེན་སྣ་ནས་དཀྱུ
archive/VE001/UT001_0005.xml,isolated_dot,བ.ན,ོང་འདྲ༔ ཁྱད་པར་མན་ངག་བཅུ་བ.ན་གྱིས༔ གང་ཟག་གཅིག་གི་དབང་
archive/VE001/UT001_0005.xml,isolated_dot,་.་,ས་སུ་བྱས་པ་ནི༔ བཙན་པོ་མཁར་.་ཞུགས་པ་འདྲ༔ སྨྲ་བྱེད་མཚོན
archive/VE001/UT001_0005.xml,isolated_dot,་.་,ག་གི་མན་ངག་གིས༔ .ེ་ཉིད་ལམ་.་སློང་པ་ནི༔ བྱ་བ་བཏང་པའི་ས
archive/VE001/UT001_0005.xml,isolated_dot,་.་,"ྣམ་པ་ལྔ་རྣམས་ལ༔ འཆི་ཁར་ལམ་.་བྱེད་པ་ནི༔ ,ོག་ཆེན་ས་ལ་ལྟ"
